original_job,new_job
assistant professor of industrial engineering,assistant professor
assistant professor of mechanical engineering,assistant professor
assistant professor of neuroscience,assistant professor
assistant professor of research medicine,assistant professor
assistant professor of sociology,assistant professor
assistant professor periodontics,assistant professor
assistant professor pharmaceutical science,assistant professor
department of medicine assistant professor,assistant professor
assistant professor 10 month,assistant professor
assistant professor and program director,assistant professor
assistant professor clinical physician,assistant professor
assistant professor computer information systems,assistant professor
assistant professor in mathematics,assistant professor
assistant professor in practice,assistant professor
assistant professor marine chemistry,assistant professor
assistant professor mest,assistant professor
assistant professor of chemistry & biochemistry,assistant professor
assistant professor of clinical,assistant professor
assistant professor of clinical internal medicine,assistant professor
assistant professor of clinical medicine,assistant professor
assistant professor of clinical psychiatry,assistant professor
assistant professor of communicaiton,assistant professor
assistant professor of computer information systems,assistant professor
assistant professor of decision sciences,assistant professor
assistant professor of education,assistant professor
assistant professor of electrical engineering,assistant professor
assistant professor of english,assistant professor
assistant professor of entomology & wildlife ecology,assistant professor
assistant professor of geographic information systems,assistant professor
assistant professor of health studies,assistant professor
assistant professor of history & intl & public affairs,assistant professor
assistant professor of human communications,assistant professor
assistant professor of information systems,assistant professor
assistant professor of international studies,assistant professor
assistant professor of japanese language,assistant professor
assistant professor of journalism,assistant professor
assistant professor of management information systems,assistant professor
assistant professor of medicine,assistant professor
assistant professor of nursing,assistant professor
assistant professor of orthodontics,assistant professor
assistant professor of philosophy,assistant professor
assistant professor of physics,assistant professor
assistant professor of physics and engineering physics,assistant professor
assistant professor of political economy,assistant professor
assistant professor of political science,assistant professor
assistant professor of prosthodontics,assistant professor
assistant professor of public health,assistant professor
assistant professor of risk management & insurance,assistant professor
assistant professor of sport management,assistant professor
assistant professor of sustainable technology,assistant professor
assistant professor public health,assistant professor
assistant professor religious studies,assistant professor
assistant professor research,assistant professor
assistant professor simulation,assistant professor
assistant research professor,assistant professor
assistant research professor of neuroscience,assistant professor
assistant teaching professor of germany,assistant professor
assistant visiting research professor,assistant professor
assitant research professor,assistant professor
computer science assistant professor,assistant professor
instructional assistant professor,assistant professor
research assistant professor,assistant professor
acting assistant professor moving to assistant professor,assistant professor
adjunct assistant professor,assistant professor
assistant adjunct professor,assistant professor
assistant clinical professor,assistant professor
assistant prof of clinical peds,assistant professor
assistant professor & extension specialist,assistant professor
assistant professor & physician,assistant professor
assistant professor ac,assistant professor
assistant professor and director of choral activities,assistant professor
assistant professor architecture,assistant professor
assistant professor biomedical sciences,assistant professor
assistant professor civil engineering,assistant professor
assistant professor clinical,assistant professor
assistant professor clinician educator,assistant professor
assistant professor computer science,assistant professor
assistant professor criminal justice,assistant professor
assistant professor earth & climate sciences,assistant professor
assistant professor education,assistant professor
assistant professor educator,assistant professor
assistant professor engineering,assistant professor
assistant professor general dental sciences prosthodontics,assistant professor
assistant professor general pediatrician,assistant professor
assistant professor hs,assistant professor
assistant professor in applied statistics,assistant professor
assistant professor in civil engineering,assistant professor
assistant professor in clinical psychology,assistant professor
assistant professor in film & video production,assistant professor
assistant professor in music,assistant professor
assistant professor in nursing,assistant professor
assistant professor in pediatrics,assistant professor
assistant professor in residence,assistant professor
assistant professor internist,assistant professor
assistant professor isom,assistant professor
assistant professor law,assistant professor
assistant professor mathematics,assistant professor
assistant professor n human dimensions,assistant professor
assistant professor non tenure clinical,assistant professor
assistant professor non tenure research track,assistant professor
assistant professor of accountancy,assistant professor
assistant professor of agribusiness,assistant professor
assistant professor of anesthesiology,assistant professor
assistant professor of applied mathematics,assistant professor
assistant professor of architecture,assistant professor
assistant professor of art,assistant professor
assistant professor of art education,assistant professor
assistant professor of art history,assistant professor
assistant professor of biochemistry,assistant professor
assistant professor of biological sciences,assistant professor
assistant professor of biology,assistant professor
assistant professor of biomedical sciences,assistant professor
assistant professor of biostatistics,assistant professor
assistant professor of business,assistant professor
assistant professor of business accounting,assistant professor
assistant professor of business analytics,assistant professor
assistant professor of business ethics,assistant professor
assistant professor of clincial medicine,assistant professor
assistant professor of clinical and experiential education,assistant professor
assistant professor of clinical anesthesia,assistant professor
assistant professor of clinical dentistry,assistant professor
assistant professor of clinical family & community medicine,assistant professor
assistant professor of clinical family medicine,assistant professor
assistant professor of clinical pathology,assistant professor
assistant professor of clinical radiology,assistant professor
assistant professor of clinical surgery,assistant professor
assistant professor of clinical thoracic medicine & surgery,assistant professor
assistant professor of clinical urology,assistant professor
assistant professor of communication sciences,assistant professor
assistant professor of communication studies,assistant professor
